iter	RMSE
0	1.732469869
1	1.650662238
2	1.56548905
3	1.493318953
4	1.425623595
5	1.353809612
6	1.292987686
7	1.252994404
8	1.201429498
9	1.142405099
10	1.106426844
11	1.057804295
12	1.023716728
13	0.99409294
14	0.9650857757
15	0.9271415103
16	0.8903850013
17	0.8613571937
18	0.8369796358
19	0.8117715114
20	0.7889839491
21	0.774479196
22	0.752688979
23	0.7333453503
24	0.7192502141
25	0.7066079396
26	0.6939761824
27	0.6812827607
28	0.6731981193
29	0.6673178363
30	0.6581178018
31	0.6505778535
32	0.638378013
33	0.6288393203
34	0.6168749844
35	0.6095745803
36	0.6001073459
37	0.5907903809
38	0.5849166592
39	0.5789487647
40	0.5756960198
41	0.5743852045
42	0.5632704351
43	0.556213057
44	0.5515103258
45	0.5486782659
46	0.5397589236
47	0.5385419886
48	0.5330863571
49	0.5296688278
50	0.520249659
51	0.5138243877
52	0.5055670404
53	0.5013288464
54	0.4971480372
55	0.4917551101
56	0.4887973963
57	0.4844599075
58	0.4778749632
59	0.4735700468
60	0.4670656223
61	0.4635917153
62	0.4608642125
63	0.4582447745
64	0.4545184174
65	0.4511307921
66	0.4487400163
67	0.4463249204
68	0.4427057163
69	0.4351095726
70	0.4261325358
71	0.4240819048
72	0.4134326582
73	0.4101152772
74	0.4011103966
75	0.3959191761
76	0.3933347068
77	0.3907736721
78	0.3873634138
79	0.385512865
80	0.3782032574
81	0.3751402704
82	0.3661499403
83	0.3643241637
84	0.3625881386
85	0.3557756175
86	0.3544575307
87	0.3527773237
88	0.3473342326
89	0.3457178649
90	0.3395276726
91	0.3379634262
92	0.3364701005
93	0.335044731
94	0.3290977973
95	0.3278135023
96	0.326446934
97	0.3199753751
98	0.3186469604
99	0.3158776933
100	0.3097576307
101	0.3085159596
102	0.3059452568
103	0.3001593295
104	0.2989989121
105	0.2936598502
106	0.2925355049
107	0.290150444
108	0.2850394078
109	0.2810721734
110	0.2788869367
111	0.273868741
112	0.271794135
113	0.2673195232
114	0.2663948611
115	0.2644210986
116	0.2602221623
117	0.2591768653
118	0.2546616997
119	0.2537626371
120	0.2490409075
121	0.2471745601
122	0.2430381078
123	0.242215826
124	0.237892142
125	0.23612657
126	0.2323260759
127	0.2314201151
128	0.2283816559
129	0.224819823
130	0.2219622949
131	0.2186335228
132	0.215942538
133	0.2151693939
134	0.2123609537
135	0.2116209496
136	0.2090899727
137	0.2064623578
138	0.2040485314
139	0.1998860189
140	0.1990021678
141	0.1981584967
142	0.194497829
143	0.1936799082
144	0.1928992109
145	0.1921541642
146	0.1900193836
147	0.1866474885
148	0.1859161769
149	0.1827565651
150	0.1816897958
151	0.1810119711
152	0.179064091
153	0.1785118678
154	0.1760761289
155	0.1736178002
156	0.1717500114
157	0.1707936531
158	0.16901948
159	0.1681078498
160	0.1663599719
161	0.1634509289
162	0.1609015151
163	0.1602740899
164	0.1586559276
165	0.1580753813
166	0.1558342303
167	0.1552734871
168	0.153028397
169	0.152486641
170	0.1516947355
171	0.1501677047
172	0.1496680086
173	0.1475596978
174	0.1470768667
175	0.1451552787
176	0.1442645269
177	0.1419098851
178	0.1414574385
179	0.1404616312
180	0.1390328125
181	0.1368580728
182	0.1364356526
183	0.134577873
184	0.1331040833
185	0.1327931472
186	0.1308428739
187	0.1285758573
188	0.1272622372
